,winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential,winner
11502,0.569545616,0.593582169,0,64.09968278,2,1,5,3,1,2,1,64,86,1
11504,0.625726415,0.546607943,1,54.47824524,1,1,2,4,1,3,0,45,59,1
11509,0.290725775,0.682391456,0,69.01558766,2,2,5,4,2,2,1,65,63,1
11510,0.280767896,0.860942482,-1,55.05158655,3,2,5,4,1,2,1,?,30,1
11511,0.869520847,0.729190126,-1,72.39327461,2,2,1,5,2,2,0,11,?,1
11512,0.351735386,0.423492022,-1,78.38106739,4,0,3,3,2,2,0,68,63,1
11515,0.771026137,0.507692284,1,?,2,2,3,4,4,2,0,73,23,1
11519,0.254086208,0.279175337,0,53.02709121,2,2,1,3,2,3,1,?,66,1
11521,0.52380972,1.080717063,0,78.96490687,2,0,1,2,2,2,1,56,46,1
11523,0.552754114,0.455396508,0,61.06257905,2,2,3,1,4,2,0,59,52,1
11524,0.063039157,0.671770701,0,61.78227606,1,2,5,5,2,3,1,53,?,1
11525,0.477647788,0.859453181,1,70.619092,2,1,5,5,2,3,?,58,90,1
11527,0.215523452,0.762267683,1,56.47369269,3,1,2,1,2,3,1,61,58,1
11528,0.606069624,0.388901685,-1,70.81017596,2,2,5,4,1,3,1,69,?,1
11529,0.325562576,0.3192355,-1,73.71577955,1,0,2,2,1,2,1,48,52,1
11530,0.14796895,0.134746166,-1,74.59763142,0,0,3,5,1,?,1,67,98,1
11531,0.396494485,0.771228554,1,59.00406563,2,1,1,2,3,1,0,10,27,1
11532,0.687973424,0.460570801,-1,61.33010915,2,1,4,5,2,3,1,58,64,1
11533,0.485576738,0.231952731,0,61.83254825,1,1,2,5,?,2,1,70,29,1
11534,0.308197663,0.514741149,1,64.80362495,2,2,2,5,3,3,1,38,57,1
11537,0.385688363,0.261041217,1,60.57599913,3,2,5,1,?,3,0,74,30,1
11539,0.334303504,0.352430203,0,61.03404166,3,2,3,3,4,2,1,28,49,1
11540,0.427103593,0.55594101,1,70.42701593,2,1,1,3,3,2,1,34,68,1
11545,0.487539309,0.360669978,-1,46.72869197,3,-2,3,2,2,2,0,66,42,1
11547,0.337912588,0.505504172,1,64.53331448,3,2,2,4,?,4,1,31,44,1
11548,0.115331025,0.548283844,1,68.14328371,2,2,3,4,3,?,0,35,31,1
11550,0.718404103,0.747423613,1,70.65937504,2,1,2,?,2,2,1,74,39,1
11552,0.542710268,0.626575714,-1,66.5285019,2,0,1,5,3,2,0,30,65,1
11553,0.569665628,0.726442722,1,58.82031626,2,1,4,4,3,2,1,?,45,1
11554,0.478315419,0.631028681,0,63.9316482,0,2,3,3,2,3,1,83,38,1
11556,0.545381557,0.538149064,0,64.80715398,1,1,2,5,3,1,0,59,46,1
11557,0.745005903,0.802164735,-1,55.31621273,1,0,1,5,2,2,1,36,27,1
11558,0.738740513,0.313706344,1,71.08902124,2,2,3,3,?,4,1,61,40,1
11560,0.586175159,0.852884111,-1,70.41112397,2,2,5,5,1,3,0,51,56,1
11561,0.393646379,0.638078241,-1,64.39727908,1,0,2,2,3,3,1,38,42,1
11562,0.866907569,0.527812799,-1,69.75085042,3,1,?,1,3,2,0,41,57,1
11563,0.303895381,0.47746349,0,70.18350316,0,0,4,2,3,1,0,53,55,1
11565,0.515313867,0.409032111,1,60.05101455,1,2,?,3,2,4,0,78,9,1
11566,0.671917892,0.456316445,1,73.08268017,1,3,3,2,3,3,0,79,21,1
11567,0.210890162,0.183285526,-1,55.47986048,2,1,4,2,?,2,?,49,37,1
11568,0.557891946,0.40324972,0,69.11770221,5,3,2,2,3,4,1,82,39,1
11569,0.63812173,0.513182591,-1,63.92443355,2,1,5,4,2,3,1,38,?,1
11570,0.505250075,0.658299945,1,79.19636208,0,1,4,2,3,1,1,?,28,1
11571,0.558703816,0.482972322,-1,64.61813916,2,1,1,1,2,1,1,74,37,1
11573,0.426898142,?,0,62.85306302,4,0,4,1,?,3,1,70,88,1
11574,0.766770949,0.266460528,1,58.40777537,2,1,4,3,3,3,1,57,31,1
11576,0.509565296,0.443992542,1,66.35200553,1,1,4,3,?,1,?,46,18,1
11579,0.721594293,0.466888053,-1,68.37951767,?,1,2,2,2,3,0,37,88,1
11580,0.149902831,0.007649042,1,59.75857186,2,1,4,?,4,1,1,21,1,1
11581,0.28784666,0.194624893,-1,69.16179647,2,0,4,5,3,3,1,50,80,1
11583,0.575432313,0.670103498,0,53.00273937,2,1,2,2,1,2,0,27,48,1
11584,0.502699824,0.374751513,-1,71.24565648,1,1,3,4,2,4,0,54,?,1
11586,0.425264003,0.507052033,0,68.07280369,1,0,4,2,1,3,1,53,60,1
11587,0.257159532,0.531929588,1,71.39663629,1,0,2,3,2,3,1,69,37,1
11590,0.282432328,0.74030979,-1,59.97385695,2,1,4,5,2,2,0,46,56,1
11592,0.67096678,0.657400108,0,61.89770498,3,3,1,3,2,2,1,40,61,1
11594,0.482956734,0.271897624,0,58.15793819,2,2,4,5,3,3,0,59,57,1
11595,0.107706358,0.703879522,-1,68.05436654,1,1,4,4,3,3,1,48,68,1
11596,0.502781008,0.482124591,0,77.61134048,1,0,2,2,4,2,1,55,41,1
11600,0.460154449,?,0,72.86416687,2,1,?,1,?,3,?,70,47,1
11602,0.35150594,0.530280776,-1,62.22762159,?,1,1,4,3,?,1,41,34,1
11603,0.501492253,0.619354714,1,62.47173754,1,1,2,4,3,4,1,89,27,1
11604,0.575209223,0.409974856,0,59.63999961,3,0,3,?,2,2,0,20,68,1
11608,0.692193656,0.585947001,-1,62.98311098,2,1,3,?,2,2,1,50,61,1
11610,0.625823454,0.660812315,-1,63.08229514,1,1,2,4,3,2,0,32,14,1
11614,0.391280182,0.441190021,0,69.18109496,3,2,5,5,?,2,1,60,50,1
11616,0.629692455,0.881823405,-1,73.25518846,2,?,4,4,2,3,0,70,44,1
11617,0.360206884,0.52233088,1,63.54935667,1,1,3,3,1,2,0,60,38,1
11618,?,0.639793282,-1,72.83970761,2,1,3,1,3,?,1,41,48,1
11619,0.542478896,0.449503363,-1,83.33966085,2,1,1,5,5,2,0,61,38,1
11622,0.434055669,0.400765927,1,60.45859752,2,1,4,1,3,3,0,?,30,1
11623,0.331822036,0.372171293,0,68.01782764,2,1,2,5,2,1,?,21,50,1
11624,0.346464835,?,0,70.18409025,1,1,3,1,1,3,0,60,46,1
11625,0.664552151,0.335230583,-1,64.36151687,?,2,5,1,2,4,1,66,29,1
11626,0.444394888,0.616692285,-1,71.91189232,0,1,5,5,3,1,0,44,20,1
11627,0.804862317,0.770498167,?,68.09665813,2,2,3,3,3,2,0,39,22,1
11628,?,0.337224849,0,60.04567509,0,0,2,4,1,3,0,27,34,1
11630,0.343200777,0.538993406,-1,57.68403452,2,4,1,3,3,4,0,79,39,1
11631,0.573463015,0.456660072,1,62.92076474,1,1,2,5,2,2,0,34,50,1
11633,0.699509336,0.863358971,1,70.73953275,3,0,4,2,1,5,0,87,37,1
11634,0.359683422,0.734457898,-1,66.80258153,1,0,?,5,4,2,1,54,10,1
11635,0.09891951,0.546419449,0,65.53192415,1,1,1,1,3,2,0,28,83,1
11636,0.19439813,0.21982344,0,54.95310104,0,2,3,5,3,?,0,33,12,1
11639,0.580753622,0.648860911,-1,63.27734134,2,1,3,5,2,4,1,61,67,1
11640,0.659135981,0.78336072,?,58.18538636,4,4,3,1,2,1,0,56,49,1
11641,0.23612691,0.541590652,0,72.76486643,3,1,5,1,2,3,1,10,70,1
11645,0.638635095,0.456833912,1,46.33171602,1,1,2,3,1,5,0,61,34,1
11646,0.835834618,0.749605916,1,52.68376532,3,2,4,1,4,3,0,16,39,1
11648,0.219392813,0.419929588,1,82.05670213,1,0,1,3,1,3,1,52,43,1
11650,0.383364135,0.278957779,-1,74.65169184,2,2,4,1,3,5,0,?,58,1
11651,0.689079109,0.389853014,0,61.18789409,3,1,5,3,4,1,1,71,46,1
11652,0.555480559,0.821615376,?,75.86423587,3,2,2,5,4,?,0,47,63,1
11653,0.553158093,0.525448572,-1,84.54818759,1,1,2,?,2,2,1,41,21,1
11654,0.38114871,0.402009406,0,69.29408125,5,1,2,2,3,3,0,70,?,1
11655,0.561621246,0.709373649,0,71.53616176,1,1,5,3,3,1,0,74,?,1
11657,0.570341178,0.414182382,0,58.16191179,1,0,1,1,3,3,1,75,70,1
11658,0.477770477,0.814436844,-1,68.13477013,2,1,2,3,2,3,0,30,13,1
11661,0.60106849,0.584792312,1,71.01640318,1,1,1,2,4,1,0,67,69,1
11662,0.479567222,0.682819805,1,59.07604267,1,1,3,4,2,2,1,47,75,1
11663,0.664015206,0.598682183,1,75.62385914,2,2,5,2,3,1,0,49,53,1
11664,0.572347472,0.544102594,-1,67.7699037,2,1,5,1,3,1,0,78,39,1
11665,0.488780982,0.655697586,0,62.969194,2,0,1,2,2,2,0,16,80,1
11666,0.597548605,0.592828135,?,60.63971623,3,1,3,4,4,2,1,27,9,1
11667,0.325693466,0.774441661,0,63.55844538,2,2,3,2,5,2,0,62,27,1
11668,0.464412873,0.52791041,1,62.89243607,2,1,1,4,3,2,0,77,46,1
11671,0.205934852,0.47320211,0,61.88893152,2,1,4,4,3,?,1,94,84,1
11673,0.77082334,0.610250822,0,63.14076443,1,?,4,5,3,4,0,18,?,1
11674,0.455889528,0.305054872,0,62.5212198,0,-1,?,3,?,1,1,85,56,1
11677,0.396992707,1.078964356,1,64.10872741,2,1,3,5,4,1,0,44,48,1
11678,0.648927043,0.50961248,0,63.96312416,2,-1,2,3,3,3,1,24,42,1
11679,0.47169517,0.473266292,?,71.29068971,2,2,5,2,3,2,1,30,35,1
11682,0.087851261,0.736542947,-1,58.0621222,2,2,1,4,?,3,0,40,79,1
11683,0.573278779,0.352100569,1,60.65625642,1,0,5,1,2,3,0,67,32,1
11685,0.67549837,0.444641589,1,67.48172272,?,1,5,3,2,2,1,81,26,1
11686,0.317992725,0.427768499,0,70.42226206,2,2,1,4,5,4,1,10,52,1
11688,0.608521812,0.491197469,1,69.03130108,0,0,4,4,2,2,1,38,27,1
11691,0.739360021,0.508107724,-1,55.20162304,2,0,5,1,2,2,1,35,21,1
11693,0.35203383,0.243447637,0,75.32633678,1,0,3,4,?,2,0,48,39,1
11694,0.764478594,0.346577636,0,82.58003051,2,2,5,3,4,2,0,48,52,1
11697,0.251695836,0.499403526,1,70.50866844,2,0,5,4,3,4,0,41,57,1
11698,0.338322762,0.57007679,-1,50.43413593,2,1,4,3,3,3,1,42,59,1
11703,0.505320004,-0.064872982,0,64.7492566,2,1,4,1,2,-1,1,43,68,1
11704,0.489650279,0.198863478,1,69.56406947,2,1,1,2,3,2,0,58,24,1
11705,0.69766545,0.506914495,1,66.13119395,2,0,2,3,4,3,0,48,35,1
11709,0.470029137,0.458055308,1,64.36208357,5,?,2,3,3,3,1,80,51,1
11711,0.426464352,0.152200174,?,60.67800977,4,2,1,1,2,3,1,36,7,1
11712,0.248999158,0.408443409,0,60.7853102,1,0,1,5,2,3,0,69,29,1
11715,0.492714743,0.59217387,1,69.66565642,2,2,2,5,1,2,0,87,31,1
11717,0.957955838,0.861079698,-1,?,2,1,5,5,5,-1,1,65,-10,1
11718,0.676910963,0.399540344,1,57.59154802,2,2,5,1,2,3,1,41,18,1
11720,0.599090685,0.466498366,0,52.53997508,1,0,5,5,1,4,0,?,18,1
11721,0.879011867,0.691649134,?,70.03569221,1,1,3,2,1,4,0,54,45,1
11722,0.433397913,0.277733,-1,54.4131519,2,1,3,5,3,3,1,51,61,1
11723,0.325654785,0.673752936,-1,56.91065475,3,3,4,3,1,?,1,55,38,1
11724,0.386417672,0.72718955,-1,75.66007453,2,2,?,1,2,2,0,42,51,1
11725,0.421056243,0.586493644,0,67.14584016,2,2,2,2,5,4,0,62,64,1
11726,0.504578765,0.549548249,1,61.93043863,1,1,4,2,4,2,?,67,49,1
11728,0.465019697,0.756474551,-1,56.71390761,1,0,4,1,2,2,1,54,31,1
11729,0.437886139,0.581386729,?,64.81440346,2,2,2,2,1,3,0,46,77,1
11731,0.407500206,0.440561038,1,62.56870925,3,2,4,1,2,4,0,32,69,1
11732,0.4169696,0.663435514,-1,68.30570689,2,2,2,1,3,2,1,23,48,1
11733,0.279614954,?,-1,59.89442702,1,1,3,4,3,3,0,35,80,1
11736,0.445815463,0.498589892,0,64.47001505,1,3,2,3,4,2,1,29,17,1
11737,0.068285568,0.612246571,-1,67.60886514,1,1,1,5,3,2,0,67,61,1
11738,0.672737713,0.744443839,1,65.54254038,?,1,5,4,1,3,1,39,17,1
11740,0.569352341,0.534353403,0,53.9106235,3,1,5,3,2,1,0,?,43,1
11742,0.304033727,0.622212723,1,70.10319922,2,2,2,5,3,3,0,72,61,1
11743,0.598368807,0.657002837,1,61.35850528,2,0,2,2,2,2,1,46,93,1
11744,0.230121132,0.430528533,1,67.96817756,2,1,4,2,5,2,0,16,55,1
11745,0.240773496,0.375942052,0,68.54795174,1,0,?,1,?,3,0,51,?,1
11746,0.523023371,0.484292771,0,73.67262872,1,1,3,4,3,1,0,41,52,1
11748,0.653532091,0.443582027,0,69.51662961,0,-1,3,4,3,3,1,47,25,1
11749,0.18582012,0.197323274,-1,70.7650062,2,2,?,2,3,3,1,39,53,1
11750,0.559992582,0.415936766,-1,66.07017968,?,0,2,3,4,2,1,29,59,1
11754,0.221037637,0.566407858,1,59.39486034,2,0,3,2,3,2,1,55,29,1
11755,0.744246236,0.428111579,1,57.07036199,2,3,2,1,?,4,1,86,-15,1
11756,0.633193371,?,-1,68.37063996,2,1,3,2,2,2,0,63,46,1
11761,0.633975095,0.552152589,-1,63.91731843,2,2,1,4,3,3,1,62,33,1
11762,0.745546174,0.542358859,0,84.03582867,1,1,4,4,3,?,1,62,70,1
11765,0.312471129,0.647744693,1,65.54008986,0,0,5,1,3,4,0,80,38,1
11766,0.427198217,0.679846305,-1,70.60247624,2,1,3,2,2,3,0,18,65,1
11767,0.79228041,0.564402767,1,65.01193169,2,1,1,2,3,3,0,53,36,1
11769,0.838457338,0.553067781,0,61.15895508,2,2,2,5,1,2,1,22,56,1
11772,0.706756066,0.380286788,1,74.6046102,3,1,2,3,3,1,1,38,45,1
11774,0.488993283,0.244647672,1,?,2,1,3,3,2,1,1,75,47,1
11775,0.371420891,0.661228256,1,70.92320784,2,2,?,4,4,2,?,26,12,1
11778,0.565313731,0.68274945,-1,63.07098819,0,2,1,5,2,4,1,59,13,1
11780,0.855497233,0.537767899,-1,65.91236717,4,2,1,4,2,3,0,48,38,1
11782,0.592378845,0.905977916,1,?,2,1,2,2,2,3,0,42,39,1
11783,0.710403466,0.455134011,1,62.70842076,2,?,2,5,3,4,1,98,90,1
11784,0.784742277,0.410375056,-1,70.81897777,3,1,3,1,2,2,0,56,46,1
11787,0.834713882,-0.098717945,1,61.0706902,2,3,?,5,0,2,1,?,49,1
11788,0.569276761,0.709322057,0,58.70402817,2,1,3,2,3,3,0,61,40,1
11791,?,0.479385899,-1,74.99740154,2,1,4,3,2,4,1,47,33,1
11792,0.643010412,0.394702332,0,64.41813181,3,3,5,2,3,2,1,19,55,1
11793,0.338915171,0.25201898,0,76.05272141,2,1,?,1,-1,4,1,62,3,1
11794,0.596437013,0.390127723,0,67.60019257,2,0,4,3,3,2,?,30,69,1
11795,0.735614518,0.855902649,1,70.41056894,2,1,2,4,3,4,1,76,53,1
11798,0.375338081,0.569073566,1,67.9315665,1,1,3,3,3,3,?,70,13,1
11801,?,0.667621741,1,73.40885047,1,0,4,1,2,2,0,?,42,1
11803,0.742015504,?,0,53.37213067,2,1,3,3,2,4,0,53,46,1
11805,0.44779687,0.701766659,0,62.54470017,1,?,1,4,1,4,1,57,18,1
11806,0.465220325,0.703888147,-1,71.23213899,1,1,4,3,3,4,0,50,81,1
11808,?,0.417814635,0,64.07490181,1,0,2,4,6,2,1,74,26,1
11809,0.732111179,0.791303937,0,63.21000111,2,2,2,1,1,3,1,?,43,1
11810,0.412102364,0.71908079,-1,59.32846807,0,1,1,5,2,3,0,49,29,1
11811,0.542272496,0.813612334,0,60.51334478,1,1,5,2,2,3,0,50,24,1
11815,0.506885562,0.450731759,-1,69.19419518,2,1,3,3,1,3,0,40,51,1
11818,0.600927429,0.645984041,-1,77.38056315,3,3,3,1,3,2,0,62,15,1
11822,0.32959479,1.034206434,-1,?,?,2,1,2,4,3,0,50,5,1
11823,0.308147813,0.655144466,?,65.77396971,?,0,4,2,1,3,1,28,36,1
11826,0.575681951,0.827824664,-1,72.41906941,1,-1,4,3,3,3,0,36,?,1
11827,?,0.496902335,-1,65.04907801,2,1,2,3,3,3,1,78,39,1
11830,0.928776821,0.677885549,0,66.585191,1,1,1,5,2,2,0,45,67,1
11832,0.308268279,0.343169209,?,70.4484703,3,1,3,5,3,1,1,35,55,1
11834,0.41268948,0.777761772,-1,69.9941279,1,1,1,1,2,4,0,38,24,1
11836,0.348405205,0.422367156,0,57.79211396,1,1,3,3,4,2,1,24,36,1
11839,0.705664673,0.58361992,-1,65.44304904,1,1,2,1,?,2,0,60,79,1
11840,?,0.700757085,0,68.06955611,2,2,4,3,2,1,1,76,48,1
11841,0.076153656,0.37422846,1,58.6493849,2,2,2,1,?,3,0,63,81,1
11842,0.46283768,0.760136883,-1,71.77851217,2,2,2,3,2,0,1,42,50,1
11843,0.358546489,0.246647721,?,58.36228008,2,2,?,1,2,4,1,62,33,1
11844,0.578653906,0.500801282,1,58.63500107,2,2,5,4,4,4,0,70,81,1
11845,0.615035776,0.699084473,-1,57.21814846,?,3,5,1,2,1,0,22,87,1
11847,0.357529992,?,1,?,2,1,4,2,5,4,0,38,56,1
11849,0.515939603,0.562801663,0,58.15113541,2,0,2,1,1,4,1,44,54,1
11853,0.222076525,0.628384368,-1,70.86736202,0,2,1,5,3,2,0,?,21,1
11854,0.388488153,0.764248978,-1,68.52110386,1,-1,2,1,3,3,0,88,45,1
11855,0.310380021,0.9660951,-1,65.79317342,4,1,?,5,3,3,1,29,34,1
11857,-0.006834705,0.435097908,0,68.00293765,1,1,5,4,4,4,0,49,17,1
11858,0.531304362,?,1,62.66860967,2,2,1,4,?,3,1,64,48,1
11859,0.463825518,0.575961132,-1,57.2923579,2,2,5,4,1,3,1,33,35,1
11860,0.325738527,0.505561096,-1,59.72628616,1,0,1,2,2,3,1,36,79,1
11862,0.527033394,0.64489549,0,57.34403773,2,0,5,3,1,2,0,69,34,1
11863,0.601172431,0.382325989,?,63.18575583,2,1,5,1,?,1,0,?,58,1
11864,0.339839245,0.538010439,-1,67.65134498,1,1,4,2,2,3,0,37,63,1
11865,0.50742534,0.804788637,0,?,2,0,2,5,?,3,1,39,81,1
11866,0.707667849,0.476498961,1,68.14410571,1,-1,1,2,2,1,0,64,64,1
11868,0.464698842,?,0,77.37472987,2,1,3,2,5,2,0,48,66,1
11870,0.540612146,0.564667678,1,69.85174156,2,0,5,1,1,4,1,83,28,1
11871,0.345848155,0.561774502,1,67.01054207,0,4,?,2,3,3,0,98,20,1
11872,0.368399605,0.331212978,1,50.28883654,1,0,5,1,3,2,1,60,46,1
11873,0.659402949,?,0,63.4266889,1,?,1,4,1,?,1,60,-14,1
11875,0.445601044,0.55396281,0,56.44433613,3,2,4,3,4,3,0,61,24,1
11876,0.592138556,0.871111224,-1,54.94981639,2,1,2,5,2,2,1,68,45,1
11877,0.316726257,0.666235253,?,70.65231674,1,1,5,5,2,2,1,108,13,1
11881,?,0.767550202,0,68.41486616,1,2,?,5,4,3,0,60,31,1
11885,0.75256762,0.976239248,0,63.99465605,2,1,3,3,?,4,0,58,30,1
11886,?,0.405939237,-1,57.17867284,2,2,?,2,2,4,1,84,46,1
11889,0.950176686,0.761780242,1,55.05658682,1,1,5,5,2,?,1,53,65,1
11892,0.470030752,0.381500787,0,58.01950798,1,1,4,1,4,1,?,46,106,1
11893,0.431113846,0.386377355,1,?,2,0,1,5,?,1,1,76,60,1
11894,0.130925318,0.232129199,-1,73.81798399,1,0,?,4,3,3,1,65,65,1
11897,0.385955487,0.297636293,1,70.2666024,2,2,3,1,2,1,0,49,31,1
11899,0.437927212,0.697405485,-1,71.8776186,0,1,5,3,3,3,1,86,36,1
11901,0.295770705,0.842438785,-1,67.89876846,1,1,?,1,3,5,0,55,47,1
11903,0.755008981,0.834041939,-1,68.46387073,2,1,1,3,4,0,0,16,36,1
11908,-0.021803539,?,-1,72.67031692,2,0,2,4,3,0,0,71,84,1
11909,0.875351659,0.537783398,0,68.36976443,2,1,3,2,3,1,1,29,74,1
11911,?,0.538415793,-1,61.29790513,2,0,4,4,5,?,1,49,62,1
11916,0.355759618,0.586055332,0,58.65358536,1,1,5,2,2,1,0,50,9,1
11917,0.64219667,0.573721815,-1,69.78869995,2,2,4,1,1,2,0,40,55,1
11918,0.454984339,0.873250165,0,58.05494268,3,3,4,2,5,2,0,47,33,1
11920,0.702273311,0.378062624,-1,67.2119388,2,1,5,1,3,3,0,70,85,1
11921,0.464338831,0.471996243,-1,?,1,0,5,2,2,2,0,81,55,1
11922,0.618807676,0.512862889,1,61.96810752,1,?,2,4,5,2,1,72,56,1
11923,0.634749254,0.644165848,-1,?,3,1,3,1,4,1,1,49,54,1
11926,0.29634791,0.371738216,0,67.91774014,0,?,1,2,2,3,0,17,?,1
11930,0.268451843,0.235203851,0,53.52641247,1,1,2,3,4,?,1,76,16,1
11932,0.533677869,0.571310002,0,61.96896745,3,2,5,3,2,2,1,48,68,1
11933,0.648501253,0.426739857,-1,49.48994875,1,1,5,2,2,2,0,40,22,1
11935,0.681383015,0.383153176,1,60.74937105,2,1,2,4,3,3,0,41,39,1
11938,?,0.61710937,-1,63.0628031,2,0,4,1,3,3,0,41,57,1
11940,0.444044065,0.905019921,-1,73.90359928,2,2,3,1,2,2,1,36,?,1
11942,0.513952308,0.245662087,?,54.88853952,2,2,3,2,3,2,1,69,43,1
11943,0.443506445,0.767370564,1,66.89836201,1,1,2,2,1,2,0,19,65,1
11949,0.76000282,0.568596319,1,74.84956485,2,2,2,1,3,2,1,65,3,1
11950,0.420363203,0.96393452,0,?,1,3,?,3,3,3,0,57,9,1
11953,0.132752892,0.650095659,0,76.59890853,2,2,3,1,?,2,0,18,39,1
11957,0.577265737,0.550318679,0,60.69645938,3,0,4,3,4,3,0,60,?,1
11959,0.517274379,0.64856546,1,65.35866217,4,4,5,?,3,2,1,70,53,1
11960,0.532218026,?,0,65.80409851,3,3,1,1,2,1,0,4,42,1
11961,0.693612197,0.529717877,-1,56.83212301,2,4,2,4,2,4,1,55,28,1
11962,0.246291471,0.454816099,1,68.86724876,3,3,4,3,2,4,0,92,80,1
11963,0.374250998,0.672430747,-1,69.11600385,2,1,3,1,2,2,0,70,47,1
11964,0.102539328,0.700053158,1,?,1,0,5,3,?,2,1,40,20,1
11965,0.348474779,0.826874026,1,61.97151818,3,2,3,5,1,3,0,22,41,1
11968,0.704263549,0.866725191,-1,61.68015434,2,1,2,2,4,3,0,49,49,1
11969,0.59489703,0.774176649,0,74.59290748,2,1,2,4,2,3,0,98,45,1
11971,0.593502888,0.494449556,0,71.13266509,?,4,4,4,3,2,0,60,19,1
11972,0.450781558,0.402187392,-1,59.12848062,3,0,1,4,2,1,1,21,79,1
11974,0.420565659,0.595568694,-1,66.55411155,3,2,5,2,2,?,1,38,37,1
11975,0.339401557,0.929421175,0,75.22177952,2,2,1,2,2,3,1,45,37,1
11976,0.531916017,0.38516861,-1,61.58556799,2,2,2,2,3,1,1,21,25,1
11977,0.522294013,0.550037957,-1,79.28405821,?,0,4,3,1,2,1,79,81,1
11978,0.736422451,0.557159914,-1,62.28711349,2,?,5,1,2,1,0,47,43,1
11980,0.4399401,0.627816713,1,82.38118544,1,0,1,5,5,2,0,36,36,1
11982,0.615269059,0.47510697,0,62.78804624,4,0,3,1,3,3,1,28,?,1
11983,0.343411307,0.702828338,1,66.26043777,1,2,4,2,3,3,1,55,19,1
11984,?,0.459181932,1,62.20489747,4,-1,?,3,2,3,?,55,45,1
11986,0.635757979,0.388821406,-1,68.90983414,1,1,2,4,2,2,1,55,64,1
11989,0.515871995,0.821597137,0,68.08640613,4,1,3,1,4,1,0,69,21,1
11990,0.893266709,0.460828003,0,72.6149958,1,1,2,1,0,?,1,70,94,1
11991,0.715912416,0.183389179,1,69.94584706,3,?,5,2,3,2,1,47,11,1
11994,0.666759246,0.769672405,1,66.06052577,2,2,5,4,?,1,1,49,57,1
11999,-0.073605495,0.299961749,-1,73.59664672,1,1,1,3,3,2,0,62,50,1
12000,0.400976322,0.763586983,-1,65.96681431,0,2,5,?,3,?,0,57,29,1
12002,0.075220697,0.185018423,-1,58.37943892,3,2,4,2,3,2,0,71,29,1
12005,0.424988448,0.19829148,-1,60.9641966,1,?,1,5,2,4,0,64,34,1
12007,0.277521393,0.345688839,0,67.82245721,1,0,5,2,2,3,0,37,62,1
12009,0.591654381,0.43104806,1,72.86473083,1,1,5,2,3,2,0,54,78,1
12011,0.662805657,0.681507958,0,72.59449978,0,3,2,3,4,3,1,50,6,1
12012,0.415641818,0.828036001,1,?,2,2,2,1,4,1,0,23,43,1
12014,0.381531163,0.534231176,-1,64.10172883,0,?,4,3,2,3,0,54,52,1
12015,0.685854391,0.468291724,1,68.150253,1,-1,?,?,3,2,0,31,?,1
12016,0.41794342,0.866095841,0,58.17405383,1,1,5,2,2,3,0,49,25,1
12018,0.231050917,-0.033893114,-1,71.67766863,2,0,3,2,4,1,?,36,64,1
12019,0.303978863,0.878675586,1,61.2472677,0,0,1,?,0,4,0,67,22,1
12020,0.445393402,0.614725472,-1,71.48778535,2,2,2,5,2,2,0,46,52,1
12021,0.647754525,0.28019114,1,62.88503738,?,-1,5,4,2,2,0,81,24,1
12023,0.705555442,0.506002912,0,61.89022864,2,-1,3,5,2,3,0,19,23,1
12024,0.567236358,0.406549741,0,50.34859799,2,1,4,2,3,3,0,44,64,1
12025,0.316298201,0.465936093,0,68.1677458,1,1,2,5,2,1,1,53,43,1
12026,0.523628183,?,-1,63.36194933,1,-1,5,?,2,5,0,62,40,1
12027,0.289204689,0.82215567,0,?,0,1,3,4,?,1,1,51,19,1
12028,0.239451285,0.324288368,-1,54.77065394,1,-1,2,3,2,2,1,60,32,1
12031,0.64821761,0.488352977,0,?,2,2,4,2,1,2,1,24,61,1
12032,0.410400283,0.299793352,-1,?,2,2,1,3,3,2,1,18,39,1
12035,0.619746829,0.416074571,1,64.73690465,1,1,1,5,3,2,0,38,53,1
12037,0.477048655,0.459772927,0,65.01154839,1,1,2,2,3,3,1,59,70,1
12038,0.696388656,0.952511315,0,60.01099064,3,1,5,2,2,2,1,9,57,1
12039,0.492592397,0.468637628,0,61.73675213,2,1,2,5,3,3,1,51,30,1
12043,0.294804102,0.481197586,0,?,2,2,3,4,3,?,1,42,84,1
12044,0.482484988,0.826457835,1,67.94057253,?,4,5,2,3,2,?,52,22,1
12046,0.294058002,0.539539353,-1,71.34266993,?,2,3,5,4,2,1,61,24,1
12047,0.104749698,0.43679682,-1,63.93319468,1,2,?,1,2,0,0,?,43,1
12048,0.62330469,0.815429555,?,65.7229183,3,3,5,4,1,2,1,66,67,1
12049,?,0.368537473,-1,?,2,2,1,4,2,2,1,56,51,1
12050,0.266277029,0.410703822,0,74.24154335,3,0,2,4,3,0,0,?,27,1
12051,0.857766462,0.210947521,?,85.98782129,3,2,3,5,1,2,0,65,?,1
12052,0.375631337,0.605892807,0,64.07588974,2,2,2,5,2,3,0,17,79,1
12055,?,0.709714045,1,60.04779398,2,2,2,2,3,3,0,44,41,1
12056,1.021855749,0.629874473,-1,61.90652692,3,1,2,3,2,3,1,86,37,1
12057,0.61268498,0.593060087,1,67.80957909,1,1,3,4,3,3,0,47,33,1
